player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),url01,url02,url03,url04,url05,url06,url07,url08,url09,url10,url11
ショーンマイケル,I,4,ブラスドラゴン,63,亜1,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_1g4.png,スパイクテイル / ダブルアタック / ドラゴンスケイル / ファイアブレス / ベノムスクラッチ / ベノムスティング,リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=8&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=104&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=168&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=266&se=10&t=1,,,,,,,
ショーンマイケル,I,4,アンクー,70,原,https://eldersign.jp/img/mi/g/f0/044_ankou_0g7.png,アイスボール / デスサイズ / パンデミック / ビーストキラー / フラッシュフラッド,HPブースト / エンジェリックウィング / クィックオーダー / リジェネレイト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=8&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=104&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=168&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=266&se=10&t=1,,,,,,,
ショーンマイケル,I,4,モーラ (1),70,原,https://eldersign.jp/img/mi/g/f0/022_mora_0g7.png,スロウ / ブラッドスティール / ペイルムーン / リベレイション / リヴァイヴ,HPブースト / クィックオーダー / 敏捷ブースト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=8&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=104&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=200&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=266&se=10&t=1,,,,,,,
ショーンマイケル,I,6,モーラ (2),70,亜1,https://eldersign.jp/img/mi/g/f0/022_mora_1g7.png,スノウストーム / フラッシュファイア / ブラッドスティール / ペイルムーン / リベレイション,魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=40&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=72&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=136&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=232&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=265&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=267&se=10&t=1,,,,,
ショーンマイケル,I,1,モーラ (3),70,亜2,https://eldersign.jp/img/mi/g/f0/022_mora_2g4.png,ペイルムーン / リベレイション,戦いのエール / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=168&se=10&t=1,,,,,,,,,,
ショーンマイケル,I,3,グリマルキン,70,亜1,https://eldersign.jp/img/mi/g/f0/085_grimalkin_1g4.png,グリムシャドウ / ハードブロウ / フラッシュフラッド / ポイズンクラウド / ルビーレイン,ハートオブマーブル / レジストシール,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=8&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=168&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=266&se=10&t=1,,,,,,,,
ショーンマイケル,I,6,ペリュトン,90,亜1,https://eldersign.jp/img/mi/p/f0/047_peryton_1g7.png,シャドウスティール / ファイアボール / リヴァイヴ / 滅びの翼 / 超低周波,戦いのエール / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=40&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=72&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=136&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=232&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=265&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=267&se=10&t=1,,,,,
ショーンマイケル,I,7,スノウ (1),70,原,https://eldersign.jp/img/mi/g/f0/020_snow_0g4.png,コールドウェーブ / コールドボルト / スノウストーム / フラッシュフラッド / ブラッドスティール / ペイルムーン,敏捷ブースト / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=40&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=72&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=136&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=200&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=232&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=265&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=267&se=10&t=1,,,,
ショーンマイケル,I,6,スノウ (2),70,亜1,https://eldersign.jp/img/mi/g/f0/020_snow_1g4.png,アーマーメルト / スノウストーム / セメタリーゲート / リヴァイヴ / 超低周波,心の壁 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=40&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=72&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=136&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=232&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=265&se=10&t=1,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=267&se=10&t=1,,,,,
ショーンマイケル,I,1,スノウ (3),70,亜1,https://eldersign.jp/img/mi/g/f0/020_snow_1g4.png,スリートストーム / ブラッドスティール / ペイルムーン / 氷の花,コールドバリア / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=6&v=200&se=10&t=1,,,,,,,,,,
