player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),match01,match02,match03,match04,match05,match06,match07,match08,match09,match10,match11
AQT,C,4,ドラケイ,45,原,https://eldersign.jp/img/mi/s/f0/092_dracae_0g7.png,コールドウェーブ / ヒカップ / ヒーリング / 早瀬 / 氷葬,ミラージュ / リフレクション / 心の壁,A-C,C-F,C-H,C-J,,,,,,,
AQT,C,10,ヴァルキュリア,52,原,https://eldersign.jp/img/mi/g/f0/099_valkyyrja_0g4.png,エインヘリヤル / エナジードレイン / バインドグラスプ / フェアリーキラー / ヴァルキリージャベリン,ハートオブフレイム / ミラージュ / リフレクション / 防御ブースト,A-C,B-C,C-D,C-E,C-F,C-H,C-I,C-J,C-K,C-L,
AQT,C,7,エアリエル,45,原,https://eldersign.jp/img/mi/g/f0/039_ariel_0g7.png,テンペスト / ネクター / フェアリーエイド / 燐火,ハートオブフレイム / ミラージュ / リフレクション / 心の壁,A-C,C-E,C-F,C-H,C-J,C-K,C-L,,,,
AQT,C,4,ルサルカ,31,亜2,https://eldersign.jp/img/mi/p/f0/041_rusalka_2g4.png,アイスボール / ヒーリング / フラッド,ハートオブフレイム / ミラージュ / 心の壁,A-C,B-C,C-D,C-I,,,,,,,
AQT,C,4,ペリ,43,原,https://eldersign.jp/img/mi/g/f0/042_peri_0g4.png,パイロクラズム / ホロウワールド / ムーランルージュ,ハートオブオーシャン / ミラージュ / リフレクション / 心の壁,B-C,C-D,C-G,C-I,,,,,,,
AQT,C,5,ティターニア,38,原,https://eldersign.jp/img/mi/g/f1/106_titania_0g7.png,ストーン / ダークボルト / ネクター / ホワイトインペール / ワインクラウド,エンジェリックウィング / ハートオブウィンド / リフレクション / 命中ブースト / 心の壁,B-C,C-D,C-E,C-G,C-I,,,,,,
AQT,C,4,ティアマト,36,亜1,https://eldersign.jp/img/mi/p/f0/096_tiamat_1g4.png,アフィリエイト / イートアライブ / チャージ / テラーコール / プライマルシー,ハートオブウィンド / ミラージュ / リフレクション / 命中ブースト / 心の壁,C-E,C-G,C-K,C-L,,,,,,,
AQT,C,5,深遠なるリース,35,亜2,https://eldersign.jp/img/mi/g/f1/105_plant-rhys-dwfn_2g7.png,イーヴルフルート / オプティカルハーブ / ストーン / ツイスター / ネクター,ハートオブオーシャン / リフレクション / 守りのミンネ / 戦いのエール,C-F,C-H,C-J,C-K,C-L,,,,,,
AQT,C,1,ハンティングホラー,41,亜1,https://eldersign.jp/img/mi/p/f1/100_hunting-horror_1g4.png,ウラザイス / ガティス / ヒーリング / 悪魔のトリル / 燐火,ハートオブフレイム / リフレクション,C-G,,,,,,,,,,
ミー,A,9,ティターニア,38,亜1,https://eldersign.jp/img/mi/p/f1/106_titania_1g4.png,アウェイクニング / サンクンシティ / セメタリーゲート / ネクター / ホワイトインペール,レジストバインド,A-B,A-C,A-D,A-F,A-G,A-H,A-I,A-J,A-L,,
ミー,A,10,深遠なるリース,53,亜2,https://eldersign.jp/img/mi/g/f1/105_plant-rhys-dwfn_2g7.png,オプティカルハーブ / ストーン / ネクター / ペイルムーン / 悪魔のトリル,リジェネレイト,A-B,A-C,A-D,A-F,A-G,A-H,A-I,A-J,A-K,A-L,
ミー,A,8,エアリエル (1),53,亜2,https://eldersign.jp/img/mi/p/f0/039_ariel_2g4.png,テンペスト / ヒーリング / ファイアランス / フサリア / ルビーレイン,フレイムアシスト,A-B,A-C,A-D,A-F,A-G,A-H,A-I,A-J,,,
ミー,A,2,エアリエル (2),60,亜2,https://eldersign.jp/img/mi/p/f0/039_ariel_2g7.png,テンペスト / ファイアランス / フェアリーエイド / フサリア / ルビーレイン,フレイムアシスト / レジストバインド,A-K,A-L,,,,,,,,,
ミー,A,10,バンシー,50,亜2,https://eldersign.jp/img/mi/g/f0/097_banshee_2g4.png,エーテルクラウド / セメタリーゲート / ヒヤデスウィンド / フェイト / フューネラルマーチ,コールドアシスト / コールドバリア / レジストバインド,A-B,A-C,A-D,A-F,A-G,A-H,A-I,A-J,A-K,A-L,
