player,letter,出場回数,monster,level,variant,image,A(アクティブ),P(コンパニオン),match01,match02,match03,match04,match05,match06,match07,match08,match09,match10,match11
pmg,B,7,モグランガー,90,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g7.png,インクリーズ / ガッシマ / スタンピード / トランプル / 超超低周波,守りのミンネ / 戦いのエール,A-B,B-D,B-F,B-G,B-I,B-J,B-K,,,,
pmg,B,5,ネグランガー,90,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,アンブッシュ / インクリーズ / スタンピード / トランプル / 熱傷,守りのミンネ / 戦いのエール,A-B,B-D,B-F,B-G,B-K,,,,,,
pmg,B,3,もグりん,90,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,インクリーズ / ハウリングムーン / プロテクトディザスター / 光の楔 / 火葬,守りのミンネ / 戦いのエール,A-B,B-F,B-K,,,,,,,,
pmg,B,6,ねグりん,90,亜1,https://eldersign.jp/img/mi/p/f0/056_dhole_1g4.png,アンブッシュ / インクリーズ / ハウリングムーン / フサリア / ミラーズ,レジストスリープ / 守りのミンネ / 戦いのエール / 敏捷ブースト,A-B,B-D,B-F,B-G,B-J,B-K,,,,,
pmg,B,4,真鍮色のドラゴン,90,亜1,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_1g7.png,アースクェイク / スキュアー / チャージ / トランプル / 光の刻印,リジェネレイト / 守りのミンネ / 戦いのエール,B-C,B-E,B-H,B-L,,,,,,,
pmg,B,1,ワンパンマン（クエスト用）,90,亜2,https://eldersign.jp/img/mi/p/f0/045_pazuzu_2g4.png,アースクェイク / チャージ / ヴェンデッタ / 光の刻印,守りのミンネ / 戦いのエール,B-C,,,,,,,,,,
pmg,B,1,RedEyesBlackPazuzu,90,亜2,https://eldersign.jp/img/mi/p/f0/045_pazuzu_2g4.png,アースクェイク / ヴェンデッタ / 光の刻印 / 光の楔,守りのミンネ / 戦いのエール,B-C,,,,,,,,,,
pmg,B,1,ペリ,90,亜1,https://eldersign.jp/img/mi/p/f0/042_peri_1g4.png,ヴェンデッタ / 光の楔,HPブースト / クィックオーダー,B-C,,,,,,,,,,
pmg,B,1,ガッシムパープル,90,亜1,https://eldersign.jp/img/mi/p/f0/055_dark-young_1g4.png,インクリーズ / プロテクトディザスター / メガリス / 光の楔 / 火葬,守りのミンネ / 戦いのエール,B-D,,,,,,,,,,
pmg,B,1,赤銅色のドラゴン（反撃）,90,亜2,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g4.png,アウターキラー / スキュアー / トランプル / ヴェンデッタ / 光の刻印,クィックオーダー / 命中ブースト,B-E,,,,,,,,,,
pmg,B,1,バステト (1),70,原,https://eldersign.jp/img/mi/g/f1/110_bastet_0g7.png,アンダートウ / カラカス / マウ・バスト / 光の楔 / 日光浴,HPブースト / クィックオーダー,B-E,,,,,,,,,,
pmg,B,2,バステト (2),70,原,https://eldersign.jp/img/mi/g/f1/110_bastet_0g7.png,アンダートウ / カラカス / マウ・バスト / 光のベール / 日光浴,HPブースト / クィックオーダー,B-H,B-L,,,,,,,,,
pmg,B,3,ティンダロスハウンド (1),90,亜1,https://eldersign.jp/img/mi/p/f0/054_hounds-of-tindalos_1g4.png,フォトケミカルスモッグ / ルルハラント / 光のベール / 光の楔 / 火葬,アクアノート / クィックオーダー / バナナフロート / 命中ブースト,B-E,B-H,B-L,,,,,,,,
pmg,B,1,ティンダロスハウンド (2),90,亜1,https://eldersign.jp/img/mi/p/f0/054_hounds-of-tindalos_1g4.png,フォトケミカルスモッグ / ポイズンクラウド / ルルハラント / 光の楔 / 火葬,クィックオーダー,B-J,,,,,,,,,,
pmg,B,2,ガッシムイエロー,70,原,https://eldersign.jp/img/mi/g/f0/055_dark-young_0g4.png,アンブッシュ / トランキリティ / フサリア / ミラーズ / 光のベール,守りのミンネ / 戦いのエール,B-G,B-I,,,,,,,,,
pmg,B,2,赤銅色のドラゴン,90,亜2,https://eldersign.jp/img/mi/p/f0/049_brass-dragon_2g4.png,アウターキラー / スキュアー / スパイクテイル / ヴェンデッタ / 光の刻印,クィックオーダー / 命中ブースト,B-H,B-L,,,,,,,,,
